name,price,time
MSFT,401.68,2024-09-06T17:00:00Z
MSFT,402.525,2024-09-06T16:00:00Z
MSFT,401.75,2024-09-06T15:00:00Z
MSFT,402.645,2024-09-06T14:00:00Z
MSFT,407.7,2024-09-06T13:00:00Z
MSFT,408.215,2024-09-05T19:00:00Z
MSFT,407.84,2024-09-05T18:00:00Z
MSFT,409.13,2024-09-05T17:00:00Z
MSFT,407.215,2024-09-05T16:00:00Z
MSFT,407,2024-09-05T15:00:00Z
MSFT,409.43,2024-09-05T14:00:00Z
MSFT,411.425,2024-09-05T13:00:00Z
MSFT,408.8,2024-09-04T19:00:00Z
MSFT,408.915,2024-09-04T18:00:00Z
MSFT,408.81,2024-09-04T17:00:00Z
MSFT,409.31,2024-09-04T16:00:00Z
MSFT,409.425,2024-09-04T15:00:00Z
MSFT,410.56,2024-09-04T14:00:00Z
MSFT,406.82,2024-09-04T13:00:00Z
MSFT,409.67,2024-09-03T19:00:00Z
MSFT,409.96,2024-09-03T18:00:00Z
MSFT,410.97,2024-09-03T17:00:00Z
MSFT,411.21,2024-09-03T16:00:00Z
MSFT,411.56,2024-09-03T15:00:00Z
MSFT,413.45,2024-09-03T14:00:00Z
MSFT,418.2,2024-09-03T13:00:00Z
MSFT,416.99,2024-08-30T19:00:00Z
MSFT,413.77,2024-08-30T18:00:00Z
MSFT,412.36,2024-08-30T17:00:00Z
MSFT,413.9,2024-08-30T16:00:00Z
MSFT,414.8,2024-08-30T15:00:00Z
MSFT,414.6,2024-08-30T14:00:00Z
MSFT,416.635,2024-08-30T13:00:00Z
MSFT,413.015,2024-08-29T19:00:00Z
MSFT,413.39,2024-08-29T18:00:00Z
MSFT,417.89,2024-08-29T17:00:00Z
MSFT,419.39,2024-08-29T16:00:00Z
MSFT,418.77,2024-08-29T15:00:00Z
MSFT,420.245,2024-08-29T14:00:00Z
MSFT,421.015,2024-08-29T13:00:00Z
MSFT,410.58,2024-08-28T19:00:00Z
MSFT,409.91,2024-08-28T18:00:00Z
MSFT,407.9,2024-08-28T17:00:00Z
MSFT,410.27,2024-08-28T16:00:00Z
MSFT,409.155,2024-08-28T15:00:00Z
MSFT,409.76,2024-08-28T14:00:00Z
MSFT,412.525,2024-08-28T13:00:00Z
MSFT,413.79,2024-08-27T19:00:00Z
MSFT,413.55,2024-08-27T18:00:00Z
MSFT,413.35,2024-08-27T17:00:00Z
MSFT,411.79,2024-08-27T16:00:00Z
MSFT,411.055,2024-08-27T15:00:00Z
MSFT,412.89,2024-08-27T14:00:00Z
MSFT,412.1,2024-08-27T13:00:00Z
MSFT,413.59,2024-08-26T19:00:00Z
MSFT,413.42,2024-08-26T18:00:00Z
MSFT,411.84,2024-08-26T17:00:00Z
MSFT,413.87,2024-08-26T16:00:00Z
